Player1,Player2,Wins,Loss
Hbox,Leffen,0,1
Hbox,Wizzrobe,0,1
Hbox,Leffen,1,0
Hbox,Wizzrobe,0,1
Hbox,Wizzrobe,0,1
Hbox,Leffen,0,1
Hbox,Mango,1,0
Hbox,Mango,1,0
Hbox,Mango,0,1
Hbox,Axe,1,0
Wizzrobe,Axe,0,1
Wizzrobe,Axe,1,0
Wizzrobe,Leffen,1,0
Wizzrobe,Axe,0,1
Wizzrobe,Leffen,1,0
Wizzrobe,Axe,0,1
Mango,Axe,0,1
Mango,Leffen,0,1
Mango,Axe,1,0
Mango,Leffen,1,0
Mango,Axe,1,0
Mango,Wizzrobe,1,0
Axe,Leffen,1,0
Axe,Leffen,0,1
Axe,Leffen,1,0
Zain,Wizzrobe,0,1
Zain,Plup,1,0
Zain,Axe,0,1
Zain,Mango,0,1
Zain,Leffen,0,1
Zain,Plup,0,1
Zain,Axe,0,1
Zain,Leffen,0,1
Zain,Hbox,1,0
Zain,Hbox,1,0
Zain,Hbox,0,1
Zain,Plup,0,1
Zain,Axe,0,1
Zain,Axe,0,1
Zain,Plup,0,1
Plup,Hbox,0,1
Plup,Mango,0,1
Plup,Wizzrobe,1,0
Plup,Leffen,0,1
Plup,Hbox,0,1
Plup,Hbox,0,1
Plup,Mango,0,1
Plup,Axe,0,1
Plup,Hbox,0,1
IBDW,Hbox,1,1
IBDW,Mango,1,1
IBDW,Wizzrobe,0,1
IBDW,Axe,0,1
IBDW,Hbox,1,1
IBDW,Leffen,0,1
IBDW,Plup,0,1
IBDW,Zain,0,1
Amsa,Wizzrobe,0,1
Amsa,Leffen,0,1
Amsa,Hbox,1,0
Amsa,Zain,0,1
Amsa,Wizzrobe,0,1
Amsa,Mango,1,0
Amsa,Zain,0,1
Amsa,Axe,0,1
Amsa,Mango,1,0
Amsa,Plup,0,1
Amsa,IBDW,0,1